date,mac,ssid
1630577590604,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577617740,b1c05e8a9613128439a7584a64906c51a44d2165,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577621178,b1c05e8a9613128439a7584a64906c51a44d2165,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577638919,bf582e792308f27b7d0ce6a5c1f56520f8b7a78d,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577638923,ef92b251a401a4eb970b0ab54f545804ebcceafb,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577638926,bf582e792308f27b7d0ce6a5c1f56520f8b7a78d,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577640131,b1c05e8a9613128439a7584a64906c51a44d2165,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577642413,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577680980,b1c05e8a9613128439a7584a64906c51a44d2165,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577687857,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577698178,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630577781218,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630578136285,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630578278641,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630578334222,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630578400002,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630578511981,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
1630578618496,d29675014f618f3ef3f6b75f146b4be71c513c16,cca78a1e963f3ba3443bf3e54a9aa939f73d223d
